class,class_meaning,symbol,ex_date,cninfo_cash_per10,eastmoney_cash_per10,cninfo_bonus_per10,eastmoney_bonus_per10,cninfo_cap_per10,eastmoney_cap_per10,cninfo_rights_per10,eastmoney_rights_per10,rights_price_per_share,tdx_fenhong,tdx_songzhuangu,tdx_peigu,tdx_peigujia,verdict
丁,仅第 7 位有效数字不同,300124.SZ,2016-05-18,4.999390,4.999390,0,0,9.998780,9.9987810,0,0,0,0.4999390125274658,0.9998780250549316,0.0,0.0,cninfo+tdx
丁,仅第 7 位有效数字不同,301308.SZ,2026-06-02,9.907442660,9.9074420,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9907442092895508,0.0,0.0,0.0,eastmoney+tdx
丙,合计相同、送转拆分不同,002269.SZ,2015-05-12,1.0,1.0,6.0,5.0,9.0,10.0,0,0,0,0.1,1.5,0.0,0.0,不予裁决（两侧都匹配或都不匹配）
乙,金额实质分歧,600025.SH,2020-06-19,1.50,1.80,0,0,0,0,0,0,0,0.15,0.0,0.0,0.0,cninfo+tdx
乙,金额实质分歧,600900.SH,2016-07-19,4.0,1.29460,0,0,0,0,0,0,0,0.4,0.0,0.0,0.0,cninfo+tdx
乙,金额实质分歧,600989.SH,2019-09-27,2.80,3.20910,0,0,0,0,0,0,0,0.27999999523162844,0.0,0.0,0.0,cninfo+tdx
乙,金额实质分歧,600989.SH,2020-06-04,2.80,3.20910,0,0,0,0,0,0,0,0.27999999523162844,0.0,0.0,0.0,cninfo+tdx
乙,金额实质分歧,600989.SH,2021-05-20,2.80,2.64720,0,0,0,0,0,0,0,0.27999999523162844,0.0,0.0,0.0,cninfo+tdx
乙,金额实质分歧,600989.SH,2022-05-12,2.80,2.6480,0,0,0,0,0,0,0,0.27999999523162844,0.0,0.0,0.0,cninfo+tdx
乙,金额实质分歧,600989.SH,2022-12-27,1.40,1.2160,0,0,0,0,0,0,0,0.13999999761581422,0.0,0.0,0.0,cninfo+tdx
乙,金额实质分歧,600989.SH,2025-05-13,4.10,4.0999320,0,0,0,0,0,0,0,0.40999999046325686,0.0,0.0,0.0,cninfo+tdx
甲,eastmoney 漏报同日一条事件,002352.SZ,2024-11-07,14.0,4.0,0.0,0,0.0,0,0.0,0,0,1.4,0.0,0.0,0.0,cninfo+tdx
甲,eastmoney 漏报同日一条事件,002709.SZ,2026-04-29,3.0,2.0,0.0,0,0.0,0,0.0,0,0,0.3,0.0,0.0,0.0,cninfo+tdx
甲,eastmoney 漏报同日一条事件,600188.SH,2021-07-23,10.0,6.0,0.0,0,0.0,0,0.0,0,0,1.0,0.0,0.0,0.0,cninfo+tdx
甲,eastmoney 漏报同日一条事件,600188.SH,2022-07-14,20.0,16.0,0.0,0,0.0,0,0.0,0,0,2.0,0.0,0.0,0.0,cninfo+tdx
甲,eastmoney 漏报同日一条事件,600188.SH,2023-07-17,43.0,30.70,5.0,5.0,0.0,0,0.0,0,0,4.3,0.5,0.0,0.0,cninfo+tdx
甲,eastmoney 漏报同日一条事件,600600.SH,2023-07-14,18.0,13.0,0.0,0,0.0,0,0.0,0,0,1.8,0.0,0.0,0.0,cninfo+tdx
甲,eastmoney 漏报同日一条事件,600803.SH,2024-08-01,9.10,6.60,0.0,0,0.0,0,0.0,0,0,0.9100000381469726,0.0,0.0,0.0,cninfo+tdx
甲,eastmoney 漏报同日一条事件,600803.SH,2025-07-22,10.30,8.10,0.0,0,0.0,0,0.0,0,0,1.0300000190734864,0.0,0.0,0.0,cninfo+tdx
甲,eastmoney 漏报同日一条事件,601601.SH,2021-06-30,13.0,12.0,0.0,0,0.0,0,0.0,0,0,1.3,0.0,0.0,0.0,cninfo+tdx
甲,eastmoney 漏报同日一条事件,601808.SH,2022-06-17,1.50,0.20,0.0,0,0.0,0,0.0,0,0,0.15,0.0,0.0,0.0,cninfo+tdx
甲,eastmoney 漏报同日一条事件,601828.SH,2023-07-24,0.80,0.340,0.0,0,0.0,0,0.0,0,0,0.0800000011920929,0.0,0.0,0.0,cninfo+tdx
甲,eastmoney 漏报同日一条事件,601898.SH,2024-08-20,5.550,4.420,0.0,0,0.0,0,0.0,0,0,0.5550000190734863,0.0,0.0,0.0,cninfo+tdx
甲,eastmoney 漏报同日一条事件,601966.SH,2025-07-10,0.840,0.70,0.0,0,0.0,0,0.0,0,0,0.08399999737739564,0.0,0.0,0.0,cninfo+tdx
甲,eastmoney 漏报同日一条事件,603259.SH,2025-05-21,13.31690,9.81690,0.0,0,0.0,0,0.0,0,0,1.3316900253295898,0.0,0.0,0.0,cninfo+tdx
